,Address,Business.Type,Latitude,Longitude,Name.of.Business,Phone.Number,Suburb
164,"48 Kallay St, Clayton South VIC 3169, Australia",Childcare,-37.9373111,145.1130182,Starfish Early Learning Centre - Clayton,,Clayton South
165,"2/31 Rayhur St, Clayton South VIC 3169, Australia",Childcare,-37.9317798,145.1311608,Family Day Care,,Clayton South
166,"1 Milton Ave, Clayton South VIC 3169, Australia",Childcare,-37.9334832,145.1311611,Clayton South Child Care Centre,,Clayton South
167,"543 Clayton Rd, Clayton South VIC 3169, Australia",Childcare,-37.9412526,145.1163194,Discovery Tree Early Learning Centre,,Clayton South
168,"1 Woiwurung Cres, Coburg VIC 3058, Australia",Childcare,-37.7357305,144.9733324,Pelican Childcare Coburg,,Coburg
169,"40 The Grove, Coburg VIC 3058, Australia",Childcare,-37.7520379,144.970532,The Grove Childrens Centre,,Coburg
170,"90 Bell St, Coburg VIC 3058, Australia",Childcare,-37.740996,144.969244,Moreland City Council Family Day Care,,Coburg
171,"222A Bell St, Coburg VIC 3058, Australia",Childcare,-37.7402757,144.957661,Goodstart Early Learning Coburg,,Coburg
172,"962/966 Sydney Rd, Coburg VIC 3058, Australia",Childcare,-37.7228146,144.963865,Casa Bambini Coburg,,Coburg North
173,"177 Keele St, Collingwood VIC 3066, Australia",Childcare,-37.7969798,144.9897116,Gold Street Children's Centre,,Collingwood
175,"265 Waterview Blvd, Craigieburn VIC 3064, Australia",Childcare,-37.5827104,144.9070049,Craigieburn West YMCA Early Learning Centre,,Craigieburn
176,"94-100 Fairways Blvd, Craigieburn VIC 3064, Australia",Childcare,-37.606706,144.9119385,Pelican Childcare Fairways,,Craigieburn
177,"199 Newbury Blvd, Craigieburn VIC 3064, Australia",Childcare,-37.5717354,144.9088644,Pelican Childcare Newbury Boulevard,,Craigieburn
178,"21 Clarendon Ave, Craigieburn VIC 3064, Australia",Childcare,-37.5890648,144.9172708,Amaary Family Day Care Service,,Craigieburn
179,"125 Newbury Blvd, Craigieburn VIC 3064, Australia",Childcare,-37.576066,144.907204,Newbury Family DayCare,,Craigieburn
180,"18-40 Accolade Drive, Craigieburn VIC 3064, Australia",Childcare,-37.5923104,144.8940702,Green Leaves Early Learning Craigieburn,,Craigieburn
181,"265 Waterview Blvd, Craigieburn VIC 3064, Australia",Childcare,-37.5825476,144.9070073,YMCA Craigieburn Early Learning Centre,,Craigieburn
182,"19 Princes Circuit, Craigieburn VIC 3064, Australia",Childcare,-37.583739,144.9351489,Pelican Childcare Craigieburn,,Craigieburn
183,"24-36 Cleveland Dr, Craigieburn VIC 3064, Australia",Childcare,-37.579191,144.925773,KU Craigieburn Children's Centre,,Craigieburn
184,"144 &, 146 Hothlyn Dr, Craigieburn VIC 3064, Australia",Childcare,-37.609614,144.931635,Hothlyn Drive Children's Centre,,Craigieburn
185,"65 Mission Hills Way, Craigieburn VIC 3064, Australia",Childcare,-37.60225,144.913976,Mothers Love Family Day Care,,Craigieburn
186,"Springhill Dr &, Aleppo Pl, Cranbourne VIC 3977, Australia",Childcare,-38.0850341,145.2917028,Springhill Drive Early Learning & Kinder,,Cranbourne
187,"43A Clarendon St, Cranbourne VIC 3977, Australia",Childcare,-38.104597,145.27611,Clarendon Street Community Child Care Centre,,Cranbourne
188,"Cranbourne Home shopping complex, 1280 Thompsons Rd, Cranbourne VIC 3977, Australia",Childcare,-38.0842814,145.279954,Bliss Early Learning Cranbourne,,Cranbourne
189,"3 Ferndown Dr, Cranbourne VIC 3977, Australia",Childcare,-38.1225189,145.2506801,Aussie Kindies Early Learning Cranbourne,,Cranbourne
190,"18-22 Mundaring Dr, Cranbourne VIC 3977, Australia",Childcare,-38.1072919,145.2811955,Cranbourne Day Care & Kindergarten Centre - Mundaring Drive,,Cranbourne
191,"144 Camms Rd, Cranbourne VIC 3977, Australia",Childcare,-38.099033,145.288857,Westernport Child Care Centre PTY LTD,,Cranbourne
192,"55-57 Broad Oak Dr, Cranbourne East VIC 3977, Australia",Childcare,-38.1057146,145.301117,Milestones Early Learning Cranbourne East,,Cranbourne East
193,"1 Mackillop Way, Clyde North VIC 3978, Australia",Childcare,-38.1155255,145.3202687,Kids On Clyde,,Cranbourne East
194,"35 Aayana St, Clyde North VIC 3978, Australia",Childcare,-38.1082987,145.3199581,Clyde North YMCA Early Learning Centre,,Cranbourne East
